Gerätenummer;Mitarbeiter-ID;Ausgabe am;Rückgabe am;Gerätetyp;Modell;Kaufdatum;Netto-Kaufpreis;Standort;Name;Abteilung;Standort2
G0035;1009;09.05.24;;Beamer;BenQ MW550;03.01.24;644,54 €;Berlin;Univ.Prof. Heimo Karge;Marketing;Hamburg
G0021;1008;30.09.25;05.10.25;Monitor;Samsung Curved;22.02.23;1.134,16 €;München;Dipl.-Ing. Klaus-Werner Holsten B.Sc.;IT;Hamburg
G0024;1005;27.03.25;30.07.25;Monitor;Dell UltraSharp;01.03.22;750,91 €;Berlin;Alexandre Davids;Vertrieb;Berlin
G0016;1010;28.07.25;;Drucker;Canon Pixma;30.03.23;1.501,06 €;Berlin;Carolin Hande;IT;Hamburg
G0006;1012;31.05.25;10.06.25;Smartphone;Samsung S21;01.01.24;1.257,96 €;München;Ariane Klemt-Kaul;IT;München
G0005;1009;07.04.24;;Drucker;Canon Pixma;03.11.21;823,23 €;Berlin;Univ.Prof. Heimo Karge;Marketing;Hamburg
G0009;1011;12.07.25;15.07.25;Laptop;Dell XPS;10.04.23;1.458,02 €;München;Auguste Davids;IT;Hamburg
G0011;1005;29.06.25;29.08.25;Drucker;Brother HL;09.09.25;141,71 €;München;Alexandre Davids;Vertrieb;Berlin
G0028;1004;19.08.24;;Beamer;Epson EB;19.01.23;1.246,58 €;Hamburg;Klemens Löffler;Vertrieb;Hamburg
G0013;1012;07.05.24;27.06.24;Drucker;Canon Pixma;16.05.21;1.898,65 €;Hamburg;Ariane Klemt-Kaul;IT;München
G0024;1008;24.03.24;;Monitor;Dell UltraSharp;01.03.22;750,91 €;Berlin;Dipl.-Ing. Klaus-Werner Holsten B.Sc.;IT;Hamburg
G0029;1002;21.09.25;04.10.25;Laptop;Lenovo ThinkPad;21.05.21;1.553,15 €;Hamburg;Eleni Hauffer;IT;Berlin
G0005;1006;23.08.25;22.09.25;Drucker;Canon Pixma;03.11.21;823,23 €;Berlin;Eric Patberg B.Sc.;Vertrieb;Hamburg
G0015;1010;26.03.24;17.08.25;Smartphone;iPhone 13;20.09.22;661,44 €;München;Carolin Hande;IT;Hamburg
G0005;1012;03.11.24;;Drucker;Canon Pixma;03.11.21;823,23 €;Berlin;Ariane Klemt-Kaul;IT;München
